label,pattern
brand,honor
brand,huawei
brand,infinix
brand,nokia
brand,oppo
brand,realme
brand,samsung
brand,vivo
brand,xiaomi
brand,apple
brand,apple 
specs,1gb
specs,2gb
specs,3gb
specs,4gb
specs,6gb
specs,8gb
specs,10gb
specs,12gb
specs,14gb
specs,16gb
specs,32gb
specs,64gb
specs,128gb
specs,256gb
specs,512gb
specs,1tb
specs,2tb
specs,i3
specs,i5
specs,i7
specs,i9
network,wi-fi
network,cellular
year,2017
year,2018
year,2019
year,2020
year,2021
year,2022
model,hua-53010xxj
model,a03s
model,150
model,s22+
model,hot10
model,i7-10510u
model,2i
model,10s
model,y7p
model,reno7
model,poco
model,book
model,g21
model,i7-8550u
model,i5
model,reno6
model,a83
model,f3
model,x7
model,x2
model,y81
model,a73
model,fold2
model,9i
model,plus
model,1.4
model,pocket
model,neo2
model,magicbook15
model,lite50
model,14s
model,a80
model,8i
model,t1
model,hon-53011uge
model,s8
model,lite
model,artist
model,smartphone
model,c20
model,j7
model,a50s
model,y15
model,a12e
model,note9
model,superzoom
model,prime
model,mate40
model,x50
model,note11
model,matebook13
model,5i
model,y76s
model,m22
model,pro2019
model,premium
model,nex3
model,a57
model,a02
model,110
model,a54
model,12
model,225
model,15.6''
model,mobile
model,5500u
model,5g
model,gt
model,30a
model,c2
model,sim3310
model,y20
model,a95
model,x3
model,y1s
model,a92
model,r11s
model,53010qnq
model,international
model,v7
model,x5
model,view20
model,note20
model,m53
model,laptop14
model,y21
model,13.3
model,neo
model,m33
model,flip
model,a42
model,a76
model,a22
model,note12
model,limited
model,vegan
model,pro11
model,8a
model,a74
model,nova9
model,a31
model,y12s
model,ne11
model,s20+
model,i5-11300h
model,lite10
model,5.3
model,x15
model,v20
model,grey
model,p30
model,note
model,gt2
model,pro+
model,c21y
model,j8
model,10c
model,m32
model,105
model,a15
model,leather
model,8s
model,10
model,2.2
model,pro50
model,v17
model,s10
model,magicbook
model,p40
model,flip3
model,nfc
model,y33t
model,s20
model,5.4
model,2.3
model,m52
model,53011sxx
model,y31
model,y5
model,play
model,r7
model,g88
model,a96
model,bbr-wah9
model,hua-53011pvm
model,amd
model,c12
model,fc
model,pro7
model,9x
model,master
model,i3-1115g4
model,c17
model,nova7
model,50
model,13.9
model,-i5
model,v21
model,9a
model,zero
model,j6
model,lte
model,a52s
model,14
model,r17
model,10x
model,40
model,c3
model,hot
model,y6p
model,sim
model,redmi
model,edition
model,f4
model,note5
model,9s
model,13
model,i5-10210u
model,r5
model,c11
model,k40
model,pro8
model,y75
model,y12a
model,bts
model,a5
model,y7a
model,a33
model,core
model,x9
model,amd14
model,a93
model,50a
model,s21
model,y50
model,a72
model,y70
model,ne
model,note8
model,dual
model,v21e
model,a03
model,mate
model,space
model,a23
model,a13
model,14.2
model,s10+
model,y30
model,y19
model,galaxy
model,6.1+
model,3500u
model,a8
model,a21s
model,a16
model,p10
model,magicbook16
model,laptop
model,a71
model,note10
model,v23
model,i3-10110u
model,pro
model,a7
model,210
model,i7-8565u
model,c01
model,a10s
model,a11
model,7i
model,a32
model,10.2
model,106
model,c25s
model,y11
model,reno
model,zoom
model,4600h
model,a5s
model,6i
model,mi10
model,s22
model,smart6
model,book14
model,8.1
model,kcd
model,y20s
model,11t
model,y15a
model,mi
model,f9
model,redmi10
model,v23e
model,se50
model,g96
model,air
model,16
model,6300
model,bmh-wdq9hn
model,fe
model,a6
model,7s
model,a30s
model,hua-53011jfh
model,a9
model,s1
model,matebook
model,xs
model,m4
model,fold
model,53011utp
model,9c
model,j5
model,pro12
model,p50
model,nex
model,c35
model,reno2
model,11i
model,v11i
model,t1x
model,hua-53010xxl
model,reno4
model,a52
model,mi11
model,x60
model,matebook14
model,pro2021
model,m3
model,mate30
model,a12
model,y5p
model,10a
model,a53
model,redmi8
model,3310
model,max
model,11s
model,narzo
model,find
model,8x
model,16.1
model,xs2
model,i7-11370h
model,hua-53011hyk
model,10t
model,mini
model,53011uuy
model,tenfold
model,version
model,a02s
model,c25y
model,y9
model,15
model,narzo30
model,a51
model,a15s
model,j7+
model,pocophone
model,m12
model,y76
model,magic4
model,5t
model,nacho
model,c21
model,narzo20
model,pro2020
model,15.6
model,x80
model,m9t
model,50i
model,x20
model,hot11
model,reno3
model,d15
model,i5-8250u
model,neo3
model,30
model,hua-53011kdq
model,network
model,s9
model,narzo50
model,y33s
model,view
model,a16k
model,ipad
model,x70
model,smart
model,g10
model,magicbook14
model,d14
model,x4
model,3700u
model,fold3
model,pro6
model,a70
model,y15s
model,emerald
model,f2
model,smart5
model,y9s
model,redmi9
model,4g
model,11
model,20
model,a01
model,ultra
model,s21+
model,hua-53012bym
model,9t
model,3.4
model,nova
model,c15
model,j530
model,se
model,barcelona
model,i5-1135g7
model,m02
model,a77
model,4800h
model,4e
model,green
model,y53
model,6.1
model,nova2
model,reno5
model,3.2
model,5800h
model,12.9
model,a20s
model,x8
model,y21t
model,v19
model,pro9
model,nova8
gen,3rd
gen,4th
gen,5th
gen,6th
gen,7th
gen,8th
gen,9th
gen,10th
gen,11th
gen,12th
gen,13th
gen,14th
gen,15th
